id,sheet_id,topic,title,url,difficulty,problem_order
1081,6,Array,"Reverse the array","",Easy,1001
1082,6,Array,"Find the maximum and minimum element in an array","",Easy,1002
1083,6,Array,"Find the ""Kth"" max and min element of an array","",Medium,1003
1084,6,Array,"Sort an array of 0s, 1s and 2s","",Easy,1004
1085,6,Array,"Move all negative numbers to one side of an array","",Easy,1005
1086,6,Array,"Find the Union and Intersection of two sorted arrays","",Easy,1006
1087,6,Array,"Write a program to cyclically rotate an array by one","",Easy,1007
1088,6,Array,"Find largest sum contiguous Subarray [Kadane's Algorithm]","",Medium,1008
1089,6,Array,"Minimise the maximum difference between heights","",Hard,1009
1090,6,Array,"Minimum number of Jumps to reach end of an array","",Medium,1010
1091,6,Array,"Find the duplicate in an array of N+1 integers","",Medium,1011
1092,6,Array,"Merge 2 sorted arrays without using Extra space","",Medium,1012
1093,6,Array,"Merge Intervals","",Medium,1013
1094,6,Array,"Next Permutation","",Medium,1014
1095,6,Array,"Count Inversions","",Hard,1015
1096,6,Array,"Best time to buy and Sell stock","",Easy,1016
1097,6,Array,"Find all pairs on integer array whose sum is equal to given number","",Medium,1017
1098,6,Array,"Find common elements In 3 sorted arrays","",Medium,1018
1099,6,Array,"Rearrange the array in alternating positive and negative items","",Medium,1019
1100,6,Array,"Find if there is any subarray with sum equal to 0","",Medium,1020
1101,6,Array,"Find factorial of a large number","",Medium,1021
1102,6,Array,"Find maximum product subarray","",Medium,1022
1103,6,Array,"Find longest consecutive subsequence","",Medium,1023
1104,6,Array,"Find elements that appear more than n/k times","",Medium,1024
1105,6,Array,"Maximum profit by buying and selling a share atmost twice","",Hard,1025
1106,6,Array,"Find whether an array is a subset of another array","",Easy,1026
1107,6,Array,"Find the triplet that sum to a given value","",Medium,1027
1108,6,Array,"Trapping Rain water problem","",Hard,1028
1109,6,Array,"Chocolate Distribution problem","",Easy,1029
1110,6,Array,"Smallest Subarray with sum greater than a given value","",Medium,1030
1111,6,Array,"Three way partitioning of an array around a given value","",Easy,1031
1112,6,Array,"Minimum swaps required bring elements less equal K together","",Medium,1032
1113,6,Array,"Minimum number of operations required to make an array palindrome","",Medium,1033
1114,6,Array,"Median of 2 sorted arrays of equal size","",Medium,1034
1115,6,Array,"Median of 2 sorted arrays of different size","",Hard,1035
1116,6,Matrix,"Spiral traversal on a Matrix","",Medium,1036
1117,6,Matrix,"Search an element in a Matrix","",Medium,1037
1118,6,Matrix,"Find median in a row wise sorted matrix","",Hard,1038
1119,6,Matrix,"Find row with maximum no. of 1s","",Medium,1039
1120,6,Matrix,"Print elements in sorted order using row-column wise sorted matrix","",Medium,1040
1121,6,Matrix,"Maximum size rectangle","",Hard,1041
1122,6,Matrix,"Find a specific pair in matrix","",Medium,1042
1123,6,Matrix,"Rotate matrix by 90 degrees","",Medium,1043
1124,6,Matrix,"Kth smallest element in a row-column wise sorted matrix","",Medium,1044
1125,6,Matrix,"Common elements in all rows of a given matrix","",Medium,1045
1126,6,String,"Reverse a String","",Easy,1046
1127,6,String,"Check whether a String is Palindrome or not","",Easy,1047
1128,6,String,"Find duplicate characters in a string","",Easy,1048
1129,6,String,"Why Strings are immutable in Java?","",Easy,1049
1130,6,String,"Write a Code to check whether one string is a rotation of another","",Easy,1050
1131,6,String,"Check if a string is a valid shuffle of 2 strings","",Medium,1051
1132,6,String,"Count and Say problem","",Medium,1052
1133,6,String,"Find the longest palindromic substring","",Hard,1053
1134,6,String,"Find Longest Recurring Subsequence in String","",Medium,1054
1135,6,String,"Print all Subsequences of a string","",Medium,1055
1136,6,String,"Print all the permutations of the given string","",Medium,1056
1137,6,String,"Split the binary string into two substring with equal 0s and 1s","",Easy,1057
1138,6,String,"Word Wrap Problem","",Hard,1058
1139,6,String,"EDIT Distance","",Hard,1059
1140,6,String,"Find next greater number with same set of digits","",Medium,1060
1141,6,String,"Balanced Parenthesis problem","",Medium,1061
1142,6,String,"Word Break Problem","",Hard,1062
1143,6,String,"Rabin-Karp Algorithm for Pattern Searching","",Medium,1063
1144,6,String,"KMP Algorithm for Pattern Searching","",Hard,1064
1145,6,String,"Convert a sentence into its equivalent mobile numeric keypad sequence","",Easy,1065
1146,6,String,"Minimum number of bracket reversals needed to make an expression balanced","",Medium,1066
1147,6,String,"Count All Palindromic Subsequence in a given String","",Hard,1067
1148,6,String,"Count of number of given string in 2D character array","",Medium,1068
1149,6,String,"Search a Word in a 2D Grid of characters","",Medium,1069
1150,6,String,"Boyer Moore Algorithm for Pattern Searching","",Hard,1070
1151,6,String,"Converting Roman Numerals to Decimal","",Easy,1071
1152,6,String,"Longest Common Prefix","",Easy,1072
1153,6,String,"Number of flips to make binary string alternate","",Easy,1073
1154,6,String,"Find the first repeated word in a string","",Easy,1074
1155,6,String,"Minimum number of swaps for bracket balancing","",Medium,1075
1156,6,String,"Find the longest common subsequence between two strings","",Hard,1076
1157,6,String,"Program to generate all possible valid IP addresses from given string","",Medium,1077
