id,sheet_id,topic,title,url,difficulty,problem_order
1679,7,"Arrays & Hashing","Contains Duplicate","",Easy,1599
1680,7,"Arrays & Hashing","Valid Anagram","",Easy,1600
1681,7,"Arrays & Hashing","Two Sum","",Easy,1601
1682,7,"Arrays & Hashing","Group Anagrams","",Medium,1602
1683,7,"Arrays & Hashing","Top K Frequent Elements","",Medium,1603
1684,7,"Arrays & Hashing","Product of Array Except Self","",Medium,1604
1685,7,"Arrays & Hashing","Valid Sudoku","",Medium,1605
1686,7,"Arrays & Hashing","Encode and Decode Strings","",Medium,1606
1687,7,"Arrays & Hashing","Longest Consecutive Sequence","",Medium,1607
1688,7,"Two Pointers","Valid Palindrome","",Easy,1608
1689,7,"Two Pointers","Two Sum II - Input Array Is Sorted","",Medium,1609
1690,7,"Two Pointers","3Sum","",Medium,1610
1691,7,"Two Pointers","Container With Most Water","",Medium,1611
1692,7,"Two Pointers","Trapping Rain Water","",Hard,1612
1693,7,"Sliding Window","Best Time to Buy and Sell Stock","",Easy,1613
1694,7,"Sliding Window","Longest Substring Without Repeating Characters","",Medium,1614
1695,7,"Sliding Window","Longest Repeating Character Replacement","",Medium,1615
1696,7,"Sliding Window","Permutation in String","",Medium,1616
1697,7,"Sliding Window","Minimum Window Substring","",Hard,1617
1698,7,"Sliding Window","Sliding Window Maximum","",Hard,1618
1699,7,"Stack","Valid Parentheses","",Easy,1619
1700,7,"Stack","Min Stack","",Medium,1620
1701,7,"Stack","Evaluate Reverse Polish Notation","",Medium,1621
1702,7,"Stack","Generate Parentheses","",Medium,1622
1703,7,"Stack","Daily Temperatures","",Medium,1623
1704,7,"Stack","Car Fleet","",Medium,1624
1705,7,"Stack","Largest Rectangle in Histogram","",Hard,1625
1706,7,"Binary Search","Binary Search","",Easy,1626
1707,7,"Binary Search","Search a 2D Matrix","",Medium,1627
1708,7,"Binary Search","Koko Eating Bananas","",Medium,1628
1709,7,"Binary Search","Search in Rotated Sorted Array","",Medium,1629
1710,7,"Binary Search","Find Minimum in Rotated Sorted Array","",Medium,1630
1711,7,"Binary Search","Time Based Key-Value Store","",Medium,1631
1712,7,"Binary Search","Median of Two Sorted Arrays","",Hard,1632
1713,7,"Linked List","Reverse Linked List","",Easy,1633
1714,7,"Linked List","Merge Two Sorted Lists","",Easy,1634
1715,7,"Linked List","Reorder List","",Medium,1635
1716,7,"Linked List","Remove Nth Node From End of List","",Medium,1636
1717,7,"Linked List","Copy List with Random Pointer","",Medium,1637
1718,7,"Linked List","Add Two Numbers","",Medium,1638
1719,7,"Linked List","Linked List Cycle","",Easy,1639
1720,7,"Linked List","Find the Duplicate Number","",Medium,1640
1721,7,"Linked List","LRU Cache","",Medium,1641
1722,7,"Linked List","Merge k Sorted Lists","",Hard,1642
1723,7,"Linked List","Reverse Nodes in k-Group","",Hard,1643
1724,7,"Trees","Invert Binary Tree","",Easy,1644
1725,7,"Trees","Maximum Depth of Binary Tree","",Easy,1645
1726,7,"Trees","Diameter of Binary Tree","",Easy,1646
1727,7,"Trees","Balanced Binary Tree","",Easy,1647
1728,7,"Trees","Same Tree","",Easy,1648
1729,7,"Trees","Subtree of Another Tree","",Easy,1649
1730,7,"Trees","Lowest Common Ancestor of a Binary Search Tree","",Medium,1650
1731,7,"Trees","Binary Tree Level Order Traversal","",Medium,1651
1732,7,"Trees","Binary Tree Right Side View","",Medium,1652
1733,7,"Trees","Count Good Nodes in Binary Tree","",Medium,1653
1734,7,"Trees","Validate Binary Search Tree","",Medium,1654
1735,7,"Trees","Kth Smallest Element in a BST","",Medium,1655
1736,7,"Trees","Construct Binary Tree from Preorder and Inorder Traversal","",Medium,1656
1737,7,"Trees","Binary Tree Maximum Path Sum","",Hard,1657
1738,7,"Trees","Serialize and Deserialize Binary Tree","",Hard,1658
1739,7,"Tries","Implement Trie (Prefix Tree)","",Medium,1659
1740,7,"Tries","Design Add and Search Words Data Structure","",Medium,1660
1741,7,"Tries","Word Search II","",Hard,1661
1742,7,"Heap / Priority Queue","Kth Largest Element in a Stream","",Easy,1662
1743,7,"Heap / Priority Queue","Last Stone Weight","",Easy,1663
1744,7,"Heap / Priority Queue","K Closest Points to Origin","",Medium,1664
1745,7,"Heap / Priority Queue","Kth Largest Element in an Array","",Medium,1665
1746,7,"Heap / Priority Queue","Task Scheduler","",Medium,1666
1747,7,"Heap / Priority Queue","Design Twitter","",Medium,1667
1748,7,"Heap / Priority Queue","Find Median from Data Stream","",Hard,1668
1749,7,"Backtracking","Subsets","",Medium,1669
1750,7,"Backtracking","Combination Sum","",Medium,1670
1751,7,"Backtracking","Permutations","",Medium,1671
1752,7,"Backtracking","Subsets II","",Medium,1672
1753,7,"Backtracking","Combination Sum II","",Medium,1673
1754,7,"Backtracking","Word Search","",Medium,1674
1755,7,"Backtracking","Palindrome Partitioning","",Medium,1675
1756,7,"Backtracking","Letter Combinations of a Phone Number","",Medium,1676
1757,7,"Backtracking","N-Queens","",Hard,1677
1758,7,"Graphs","Number of Islands","",Medium,1678
1759,7,"Graphs","Clone Graph","",Medium,1679
