topic,subtopic,title,url,difficulty
Learn the basics,Things to Know in C++/Java/Python or any language,User Input / Output,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Data Types,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,If Else statements,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Switch Statement,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,What are arrays strings?,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,For loops,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,While loops,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Functions (Pass by Reference and Value),,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Time Complexity [Learn Basics and then analyse in next Steps],,Easy
Learn the basics,Build-up Logical Thinking,Patterns,,Easy
Learn the basics,Learn STL/Java-Collections or similar thing in your language,C++ STL,,Medium
Learn the basics,Learn STL/Java-Collections or similar thing in your language,Java Collections,,Easy
Learn the basics,Know Basic Maths,Count Digits,,Easy
Learn the basics,Know Basic Maths,Reverse a Number,,Easy
Learn the basics,Know Basic Maths,Check Palindrome,,Easy
Learn the basics,Know Basic Maths,GCD Or HCF,,Easy
Learn the basics,Know Basic Maths,Armstrong Numbers,,Easy
Learn the basics,Know Basic Maths,Print all Divisors,,Easy
Learn the basics,Know Basic Maths,Check for Prime,,Easy
Learn the basics,Learn Basic Recursion,Understand recursion by print something N times,,Easy
Learn the basics,Learn Basic Recursion,Print name N times using recursion,,Easy
Learn the basics,Learn Basic Recursion,Print 1 to N using recursion,,Easy
Learn the basics,Learn Basic Recursion,Print N to 1 using recursion,,Easy
Learn the basics,Learn Basic Recursion,Sum of first N numbers,,Easy
Learn the basics,Learn Basic Recursion,Factorial of N numbers,,Easy
Learn the basics,Learn Basic Recursion,Reverse an array,,Easy
Learn the basics,Learn Basic Recursion,Check if a string is palindrome or not,,Medium
Learn the basics,Learn Basic Recursion,Fibonacci Number,,Easy
Learn the basics,Learn Basic Hashing,Hashing Theory,,Medium
Learn the basics,Learn Basic Hashing,Counting frequencies of array elements,,Easy
Learn the basics,Learn Basic Hashing,Find the highest/lowest frequency element,,Easy
Learn Important Sorting Techniques,Lec 1: Sorting-I,Selection Sort,,Easy
Learn Important Sorting Techniques,Lec 1: Sorting-I,Bubble Sort,,Easy
Learn Important Sorting Techniques,Lec 1: Sorting-I,Insertion Sort,,Easy
Learn Important Sorting Techniques,Lec 2: Sorting-II,Merge Sort,,Medium
Learn Important Sorting Techniques,Lec 2: Sorting-II,Recursive Bubble Sort,,Easy
Learn Important Sorting Techniques,Lec 2: Sorting-II,Recursive Insertion Sort,,Easy
Learn Important Sorting Techniques,Lec 2: Sorting-II,Quick Sort,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Lec 1: Easy,Largest Element in an Array,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Lec 1: Easy,Second Largest Element in an Array without sorting,,Easy
