title,problem,url,difficulty
Arrays,Maximum and Minimum Element in an Array,,Easy
Arrays,Reverse the Array,,Easy
Arrays,Maximum-Subarray,,Easy
Arrays,Contains Duplicate,,Easy
Arrays,Chocolate Distribution Problem,,Easy
Arrays,Search in Rotated Sorted Array,,Easy
Arrays,Next Permutation,,Medium
Arrays,Best time to Buy and Sell Stock,,Medium
Arrays,Repeat and Missing Number Array,,Medium
Arrays,Kth-Largest Element in an Array,,Medium
Arrays,Trapping Rain Water,,Medium
Arrays,Product of Array Except Self,,Medium
Arrays,Maximum Product Subarray,,Medium
Arrays,Find Minimum in Rotated Sorted Array,,Medium
Arrays,Find Pair with Sum in Sorted & Rotated Array,,Medium
Arrays,3Sum,,Medium
Arrays,Container With Most Water,,Medium
Arrays,Given Sum Pair,,Medium
Arrays,Kth - Smallest Element,,Medium
Arrays,Merge Overlapping Intervals,,Medium
Arrays,Find Minimum Number of Merge Operations to Make an Array Palindrome,,Medium
Arrays,Given an Array of Numbers Arrange the Numbers to Form the Biggest Number,,Medium
Arrays,Space Optimization Using Bit Manipulations,,Medium
Arrays,Subarray Sum Divisible K,,Unknown
Arrays,Print all Possible Combinations of r Elements in a Given Array of Size n,,Unknown
Arrays,Mo's Algorithm,,Unknown
Strings,Valid Palindrome,,Easy
Strings,Valid Anagram,,Easy
Strings,Valid parentheses,,Easy
Strings,Remove Consecutive Characters,,Easy
Strings,Longest Common Prefix,,Easy
Strings,Convert a Sentence into its Equivalent Mobile Numeric Keypad Sequence,,Easy
Strings,Print all the Duplicates in the Input String,,Easy
Strings,Longest Substring without Repeating Characters,,Medium
Strings,Longest Repeating Character Replacement,,Medium
Strings,Group Anagrams,,Medium
Strings,Longest Palindromic Substring,,Medium
Strings,Palindromic Substrings,,Medium
Strings,Next Permutation,,Medium
Strings,Count Palindromic Subsequences ,,Medium
Strings,Smallest Window in a String Containing all the Characters of Another String,,Medium
Strings,Wildcard String Matching,,Medium
Strings,Longest Prefix Suffix,,Medium
Strings,Rabin-Karp Algorithm for Pattern Searching,,Medium
Strings,Transform One String to Another using Minimum Number of Given Operation,,Medium
Strings,Minimum Window Substring,,Unknown
Strings,Boyer Moore Algorithm for Pattern Searching,,Unknown
Strings,Word Wrap,,Unknown
2D Arrays,Zigzag (or diagonal) Traversal of Matrix,,Medium
2D Arrays,Set Matrix Zeroes,,Medium
2D Arrays,Spiral Matrix,,Medium
2D Arrays,Rotate Image,,Medium
2D Arrays,Word Search,,Medium
2D Arrays,Find the Number of Islands | Set 1 (Using DFS),,Medium
2D Arrays,"Given a Matrix of ‘O’ and ‘X’, Replace ‘O’ with ‘X’ if Surrounded by ‘X’",,Medium
2D Arrays,Find a Common Element in all Rows of a Given Row-Wise Sorted Matrix,,Medium
2D Arrays,Create a Matrix with Alternating Rectangles of O and X,,Medium
2D Arrays,Maximum Size Rectangle of all 1s,,Unknown
Searching & Sorting,Permute Two Arrays such that Sum of Every Pair is Greater or Equal to K,,Easy
Searching & Sorting,counting sort,,Easy
Searching & Sorting,find common elements three sorted arrays,,Easy
Searching & Sorting,Searching in an array where adjacent differ by at most k,,Easy
Searching & Sorting,ceiling in a sorted array,,Easy
Searching & Sorting,Piar with given difference,,Easy
Searching & Sorting,majority element,,Medium
Searching & Sorting,count triplets with sum smaller that a given value,,Medium
Searching & Sorting,Maximum Sum Subsequence with no adjacent elements,,Medium
Searching & Sorting,Merge Sorted Arrays using O(1) Space,,Medium
Searching & Sorting,Inversion of Array,,Medium
Searching & Sorting,Find Duplicates in O(n) Time and O(1) Extra Space ,,Medium
Searching & Sorting,Radix Sort,,Medium
Searching & Sorting,Product of Array except itself,,Medium
Searching & Sorting,Make all Array Elements Equal,,Medium
Searching & Sorting,Check if Reversing a Sub Array Make the Array Sorted,,Medium
Searching & Sorting,Find Four Elements that Sum to a Given Value,,Unknown
Searching & Sorting,Median of Two Sorted Array with Different Size,,Unknown
Searching & Sorting,Median of Stream of Integers Running Integers,,Unknown
Searching & Sorting,Print Subarrays with 0 Sum,,Unknown
Searching & Sorting,Aggressive Cows,,Unknown
Searching & Sorting,Allocate Minimum number of Pages,,Unknown
Searching & Sorting,Minimum Swaps to Sort,,Unknown
Backtracking,Backtracking Set 2 Rat in a Maze,,Medium
Backtracking,Combinational Sum,,Medium
Backtracking,Crossword-Puzzle,,Medium
Backtracking,Longest Possible Route in a Matrix with Hurdles,,Medium
Backtracking,Printing all solutions in N-Queen Problem,,Medium
Backtracking,Solve the Sudoku,,Medium
Backtracking,Partition Equal Subset Sum,,Medium
Backtracking,M Coloring Problem,,Medium
Backtracking,Knight Tour,,Unknown
Backtracking,Soduko,,Unknown
Backtracking,Remove Invalid Parentheses,,Unknown
Backtracking,Word Break Problem using Backtracking,,Unknown
Backtracking,Print all Palindromic Partitions of a String,,Unknown
Backtracking,Find Shortest Safe Route in a Path with Landmines,,Unknown
Backtracking,Partition of Set into K Subsets with Equal Sum,,Unknown
Backtracking,Backtracking set-7 hamiltonian cycle,,Unknown
Backtracking,tug-of-war,,Unknown
Backtracking,Maximum Possible Number by doing at most K swaps,,Unknown
Backtracking,Backtracking set-8 solving cryptarithmetic puzzles,,Unknown
Backtracking,Find paths from corner cell to middle cell in maze,,Unknown
Backtracking,Arithmetic Expressions,,Unknown
Linked List,Reverse Linked List,,Easy
Linked List,Linked List Cycle,,Easy
Linked List,Merge Two Sorted Lists,,Easy
